VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Aikaranad North,682310,19432,9634,9798,4893,1106,2705,2502.0,13,250.0,1672.0,0,0,28,1,40,12,17,1985,251,9526400.0,3123,1
Valiyaparmbu,671312,12790,5758,7032,2561,934,1043,798.52,35,348.0,396.93,9,0,0,4,7,0,54,6600,133,9865927.0,301,3
Udumbannoor,685595,23859,11829,12030,5896,2305,2723,3090.0,5,375.0,2715.0,13,9,8,108,20,216,56,5200,10,30000824.0,3862,1
Madakkathara,680651,16850,8248,8602,4255,957,3078,631.33,8,222.43,408.9,4,8,16,50,8,8,45,2372,450,13528320.0,3100,3
Kurichikkara (CT),680028,4081,1993,2088,1063,118,870,182.16,2,73.42,108.74,14,4,7,11,2,5,28,695,148,5636800.0,650,3
Vellanikkara (CT),680654,6167,2997,3170,1578,185,1258,245.18,3,98.75,146.43,5,2,7,13,2,4,32,805,165,6200480.0,960,3
Kulathupuzha,691310,15931,7619,8312,4145,463,3682,2474.27,2,25.3,2204.01,30,36,143,143,90,10,35,2000,180,44600000.0,108,0
Thinkalkarikkakom,691310,18790,8755,10035,4846,543,4303,7209.31,2,25.33,6818.32,35,24,162,19,75,16,54,2294,195,33600000.0,124,0
Aloor (CT),680602,9807,4610,5197,2412,169,777,703.13,13,167.57,297.85,8,1,0,15,0,0,31,1720,180,7229000.0,160,3
Kandanassery (CT),680102,14645,6727,7918,3522,106,1042,609.3,17,149.37,459.93,10,11,8,24,0,0,22,1480,120,8117000.0,190,3
Arackal,691008,18261,8507,9754,4881,1609,3272,1392.72,3,53.0,1280.33,26,4,22,38,0,18,121,1974,8,35333000.0,675,3
Edamulackal,691532,20983,9790,11193,5595,1895,3700,3089.1,5,59.81,1946.06,31,6,32,49,0,87,27,2226,7,39803000.0,896,1
Valappad,680567,35237,16208,19029,8852,2840,5412,1271.3,86,790.7,416.88,256,25,86,36,75,0,121,5216,240,27450000.0,1978,1
Chalakkal,680552,2938,1402,1536,667,292,304,543.0,4,462.77,67.02,0,2,2,6,8,2,5,515,0,6551697.0,72,3
Tholur (CT),680555,7454,3543,3911,1775,405,1158,337.87,4,287.66,41.66,2,0,2,3,8,2,14,1207,0,7341306.0,44,3
Edakkalathur (CT),680552,8039,3799,4240,1946,414,1174,588.0,4,500.28,72.45,2,0,2,3,13,2,20,1656,0,6951645.0,45,3
Thimiri,670581,9035,4425,4610,2249,1205,600,2229.0,25,200.0,1800.0,0,0,2,0,10,15,54,1630,100,4000000.0,48,3
Vellad,670571,5660,2675,2985,1500,1125,210,535.0,28,100.0,400.0,0,0,1,0,8,10,20,1314,21,3000000.0,25,3
Kooveri,670581,19033,9111,9922,4201,2201,1512,3361.0,200,300.0,2700.0,0,4,10,0,40,40,54,4800,400,12000000.0,220,0
Cherpu (CT),680561,7864,3691,4173,1847,731,1116,560.02,2,302.5,249.64,3,4,52,12,21,0,11,207,150,7327360.0,1096,3
Chevvoor (CT),680561,16086,7691,8395,3870,231,3639,442.37,1,227.72,205.61,3,4,47,12,46,0,5,105,105,8060096.0,1463,3
Oorakam (CT),680562,13149,6229,6920,3194,348,2846,507.0,2,259.72,237.55,3,4,67,6,40,0,5,162,150,9037079.0,1263,3
Cheranallur (CT),683544,30594,15157,15437,7619,2013,209,632.67,5,4.66,205.75,2,11,18,48,10,0,19,1020,70,8328476.0,4379,1
Eruvatti (CT),670642,16905,7769,9136,3911,274,3560,740.0,1,50.0,672.0,0,3,111,8,16,0,14,2450,107,16000000.0,345,3
Pinarayi (CT),670641,16801,7786,9015,3922,235,3608,723.0,0,44.0,660.0,0,2,90,4,11,0,12,2150,100,14510000.0,1601,3
Edappal (CT),679576,32550,15113,17437,6684,367,6298,1716.75,89,904.93,381.66,17,21,23,105,240,32,19,4260,85,26000000.0,2005,1
Punnala,689696,12054,5777,6277,3073,1042,2031,1205.6,8,24.22,1043.7,30,0,2,7,110,20,190,1905,19,39500000.0,1270,3
Piravanthur,689696,21787,10391,11396,6157,2400,3757,1250.4,5,23.25,1085.3,38,1,4,10,149,25,125,2870,27,61300000.0,2050,1
Valacode (Part),691805,73,36,37,21,6,15,1.5,2,0.5,1.0,3,0,0,0,0,0,14,3,0,500000.0,15,3
Konnathady,685563,29092,14637,14455,7398,4962,2118,8813.0,0,1505.0,7219.0,0,0,32,198,0,57,78,5862,115,105000000.0,1682,0
Veliyankode,679579,32554,15054,17500,6211,282,5924,1151.94,12,316.25,692.02,425,127,347,214,343,15,10,3105,61,26000000.0,936,1
Manarcad,686019,33501,16410,17091,8421,2040,6381,1267.0,6,210.0,946.0,5,1,131,29,75,8,33,2286,360,9033400.0,5557,1
Koolimuttam,680691,12497,5643,6854,3147,630,1079,497.6235,48,348.6605,148.0,2,20,89,57,8,2,8,575,50,21921110.0,1073,3
Pappinivattom (CT),680685,15336,6909,8427,3820,1075,2648,471.8665,97,316.15,155.7165,1,16,58,29,9,5,13,913,60,27396890.0,2394,3
Kadikkad (CT),679561,19147,8734,10413,3814,543,1802,718.7,5,426.47,231.53,112,41,102,122,242,2,52,1500,100,13635500.0,235,3
Muttampalam (Part),686004,1270,630,640,321,31,290,8.92,3,1.5,6.1,0,0,0,0,0,5,2,86,0,473684.0,250,3
Vijayapuram (CT),686006,29248,14137,15111,7435,750,6675,1098.0,3,30.02,777.98,2,3,2,16,0,5,22,1506,0,8526316.0,2050,1
Eyyal (CT),680501,6727,3097,3630,1579,71,521,447.07,4,129.05,318.02,0,5,5,28,0,0,40,3025,95,4376189.0,694,3
Kadampazhipuram-I,678633,16143,7832,8311,3789,1673,2116,1982.35,52,301.24,1623.87,0,47,22,71,0,0,36,1673,75,18674326.0,3429,3
Kadangode,680584,9016,4282,4734,2048,148,593,890.24,7,256.98,633.26,0,4,6,10,0,0,55,4062,128,5866000.0,929,3
Vellarakkad,680604,5771,2753,3018,1310,30,419,428.47,3,123.68,304.78,0,2,4,13,0,0,38,4981,111,3755259.0,593,3
Chiramanangad (CT),680604,11060,5293,5767,2541,102,762,549.49,5,158.62,390.87,0,2,5,17,0,0,61,4981,111,7194752.0,1136,3
Urakam (CT),676519,29157,13915,15242,7993,332,7660,1553.77,15,290.0,1214.36,56,15,6,32,2,0,2,1445,50,5826000.0,3256,1
Kalpakancheri,676551,39960,19060,20900,9963,3234,6729,1296.76,1,69.90986,1166.193,198,1,1,42,18,1,21,3234,42,200.5,0,1
Karode,695506,31918,15651,16267,8041,1447,6594,1147.57,7,278.0,862.49,12,16,24,304,130,0,3180,3180,216,129672000.0,2495,1
Pottore (CT),680010,7848,3837,4011,1937,447,1490,360.6,2,264.07,95.99,5,2,2,0,0,0,0,467,0,2478325.0,1935,3
Kolazhy (CT),680010,11540,5603,5937,2952,1241,1711,379.2,2,101.77,277.4,2,0,0,0,0,1,0,602,0,2465145.0,2950,3
Kuttoor (CT),680010,12179,5957,6222,2930,1326,1604,399.63,2,180.2,219.43,3,0,2,0,0,0,0,657,0,2455615.0,2929,3
Kolacherry (CT),670601,17095,7847,9248,3307,800,520,950.0,14,58.0,732.0,0,0,0,11,70,0,51,9402,79,8900000.0,522,3
Cheleri (CT),670604,10848,4873,5975,2150,700,480,722.0,8,39.0,511.0,0,1,0,0,79,0,22,7842,86,8900000.0,620,3
Keezhariyur (CT),673307,15116,7061,8055,3670,145,1132,1168.0,6,15.0,1083.0,33,7,14,94,3,0,140,1465,3,38865164.0,1328,3
North Thrikkaripur (CT),671310,18210,8409,9801,3771,458,3293,886.0,30,496.0,368.0,12,0,98,0,6,5,10,1316,82,16215200.0,3445,3
South Thrikkaripur (CT),671311,22991,10333,12658,4578,496,4057,1350.0,20,512.0,451.0,13,0,102,0,8,6,12,1718,116,16319700.0,4136,1
Panniyoor,670142,12382,5932,6450,2673,781,1574,2239.0,15,54.0,2107.0,0,2,117,61,10,12,72,1819,480,14154330.0,1130,3
Kurumathur (CT),670142,18641,8723,9918,4117,582,3112,2496.0,15,89.0,2296.0,0,4,109,43,7,16,182,1925,520,17470828.0,1820,1
Karikkode (Part),685588,14242,7083,7159,3512,995,1815,1535.0,10,81.15,1308.0,0,10,2,62,19,5,87,2500,25,22500000.0,1484,3
Vellilappally,686651,19363,9540,9823,4665,3047,628,2481.0,5,291.0,2142.0,3,0,0,65,16,8,0,5321,48,9603194.0,3373,0
Thalappalam,686579,9515,4804,4711,1568,1233,335,1636.0,23,96.0,1538.0,4,7,23,42,52,5,12,3023,3011,15490000.0,1259,3
Erattupetta (CT),686579,1826,856,970,632,522,110,133.0,4,8.0,125.0,1,0,5,14,8,1,1,503,489,2816000.0,426,3
Kadampazhipuram-II,678632,15363,7453,7910,3493,1427,2066,1234.27,50,45.32,1153.73,0,39,12,42,0,0,38,1427,50,14391980.0,2934,3
Purapuzha,685584,11836,5926,5910,2952,1800,970,2047.12,10,189.45,1803.99,2,5,13,29,33,8,185,3000,50,12100200.0,1823,3
Mannamangalam,680014,7878,3927,3951,1874,862,487,432.06,14,239.19,150.2,11,3,0,26,87,10,254,1740,0,16573306.0,1165,3
Kainoor (CT),680014,7344,3666,3678,1759,260,668,404.127,8,219.51,120.6,6,0,5,9,64,15,182,890,0,4065000.0,1150,3
Marathakkara (CT),680306,15817,7852,7965,3599,144,1259,401.3,2,137.33,50.6,3,0,0,5,111,3,53,660,0,1084000.0,2150,3
Puthur (CT),680014,17430,8605,8825,4295,816,1632,624.9,6,337.61,180.6,19,25,3,55,183,35,30,2200,0,28400800.0,2609,3
Karukachal,686540,21926,10582,11344,5616,1685,2134,1766.73,9,25.84,1740.89,4,1,64,55,67,10,76,3705,18,9014400.0,1308,1
Nedumkunnam,686542,1705,812,893,446,134,170,97.79,1,3.92,93.87,1,1,20,7,8,2,9,322,2,100600.0,164,3
Vattamkulam,679578,36147,17233,18914,7454,161,7293,1645.9,6,756.43,735.28,69,0,65,34,0,18,27,5068,68,21800000.0,1083,1
Marancheri (CT),679581,35011,16041,18970,7104,413,6691,1707.9,2,525.43,749.91,19,52,640,0,0,68,31,4100,624,22600000.0,524,1
Pananchery,680652,19832,9656,10176,4889,1446,1389,1042.54,8,394.6,647.94,28,6,9,35,85,0,76,3280,7,6951150.0,3431,1
Peechi,680653,26946,13136,13810,6706,2387,1972,1158.74,12,439.6,719.14,13,27,14,73,60,0,89,3060,3,10438920.0,4703,1
Kanjirakode,680590,4474,2121,2353,1060,225,413,216.52,1,78.4,138.12,4,4,1,7,18,6,12,554,16,4225100.0,1029,3
Nelluwaya (CT),680584,5994,2849,3145,1464,225,658,563.22,3,174.71,388.5,4,7,1,10,26,12,24,891,24,7379800.0,1452,3
Kottappuram (CT),680584,6727,3258,3469,1655,240,695,476.2,2,171.3,304.9,4,9,2,6,21,13,20,945,26,6910500.0,1630,3
Chittanda (CT),680585,5936,2821,3115,1378,208,602,475.33,2,168.3,307.03,3,4,1,10,20,9,18,962,14,5131400.0,1310,3
Kariyannur (CT),680584,6363,3065,3298,1511,187,669,433.9,3,149.6,284.3,4,6,1,13,29,12,16,748,18,7010200.0,1510,3
Valavannur,676551,33159,15255,17904,6151,30,3121,875.0,12,200.0,650.0,8,2,0,18,21,0,20,3528,0,12700000.0,475,1
Kalady (CT),679582,30261,15329,14932,5873,320,5553,1343.01,0,473.68,466.84,56,1,23,47,13,0,19,2332,300,23500000.0,450,1
Nemmara,678508,18745,9105,9640,4564,2415,976,1235.0,17,648.0,587.0,39,0,1,89,61,8,34,1200,15,12906090.0,4210,1
Padavayal,678582,6144,3053,3091,1719,535,585,7075.0,102,2380.0,1780.0,30,3,8,50,53,18,0,1300,230,68354000.0,1265,0
Pudur,678581,6026,3010,3016,1776,430,750,7465.0,98,2587.0,1792.0,22,9,14,34,39,24,0,1200,220,69054000.0,1275,0
Agali,678581,22327,11239,11088,5783,1126,1637,4732.0,263,1688.0,2038.0,71,41,26,257,386,8,14,2438,1038,66950000.0,1521,0
Kallamala,678582,12614,6154,6460,2912,495,700,4634.0,233,1512.0,2012.0,39,19,13,189,316,6,0,2423,565,66962684.0,1862,0
Mulayam,680751,9465,4692,4773,2206,470,1465,360.43,24,315.66,44.77,0,3,0,33,4,0,20,1160,12,2830950.0,1680,3
Kozhukkully (CT),680751,9918,4868,5050,2361,98,1858,248.31,19,205.35,42.96,0,1,2,18,5,0,15,1056,4,1887300.0,1895,3
Nadathara (CT),680751,11969,5848,6121,2871,65,2140,192.23,7,172.75,19.48,0,7,0,13,1,0,12,795,8,1572750.0,2448,3
Puducode,678687,21733,10582,11151,4712,1923,2735,1320.0,32,698.0,622.0,43,7,354,169,180,0,85,2409,32,49200050.0,3378,1
Alamcode (CT),679575,33918,15798,18120,7050,783,6231,1685.67,221,1034.04,425.65,37,28,133,70,172,5,392,4014,9,26000000.0,5583,1
Perumpadappa,679580,29766,13553,16213,5876,2000,3000,1254.57,100,634.92,516.48,5,176,7,89,81,89,22,1398,37,13000000.0,185,1
Vamanapuram,695606,21038,9653,11385,5645,3500,1500,2021.0,10,245.0,1775.6,165,5,183,183,3,23,26,3500,500,700000.0,3900,1
Anandapuram,680323,6741,3204,3537,1733,106,1282,501.82,5,241.34,260.45,1,3,19,22,28,0,22,1329,9,578.8,1436,3
Muriyad,680663,7662,3620,4042,1978,151,1404,651.99,4,281.56,370.43,1,6,14,22,28,0,22,1329,8,578.8,1607,3
Pullur (CT),680683,12656,5923,6733,3148,150,2235,565.31,6,281.56,283.75,1,4,22,22,27,0,32,1329,8,578.8,2702,3
Kottoppadam-I,678601,14085,6711,7374,2696,404,485,1312.0,10,96.0,1198.0,7,1,1,43,74,0,5,2550,40,6054360.0,362,3
Kottoppadam-III,678583,17847,8560,9287,3504,420,596,1289.0,10,92.0,1141.0,7,3,1,40,74,0,2,2625,36,5954331.0,398,3
Kottoppadam-II,678583,11351,5431,5920,2217,355,421,1226.0,10,50.0,1162.0,6,5,8,42,72,0,2,2325,42,5554400.0,392,3
Mlappara,686513,1129,535,594,314,176,138,227.82,0,8.4,168.5673,8,0,2,2,9,2,0,408,12,3296972.0,0,3
Peruvanthanam,685532,14497,7145,7352,3529,2109,1420,5666.18945,36,261.0,4980.0,262,1,6,11,122,8,13,3452,273,46157610.0,2293,0
Madayi (CT),670358,35888,16168,19720,6687,283,6022,1079.0,5,32.0,923.0,32,6,3,18,0,0,130,1350,43,7550331.0,3410,1
Vallachira (CT),680562,12970,6356,6614,3144,788,2356,402.46,12,163.77,225.88,7,3,3,2,57,0,13,1288,180,11355760.0,1547,3
Kokkayar,686514,11786,5913,5873,2952,1752,1200,5203.0,5,272.0,4927.0,87,0,0,22,118,7,19,4071,264,75286024.0,1798,0
Melukavu,686652,1037,525,512,277,216,54,185.0,0,3.18,178.2,0,0,0,0,0,0,0,235,60,1202320.0,6,3
Moonilavu,686586,7694,3913,3781,1849,1645,100,2458.0,1,42.27,2367.38,0,3,17,58,14,0,0,1893,796,15973680.0,75,3
Keezhattur,679325,20457,9787,10670,4042,850,1750,1615.0,56,218.0,1397.0,15,11,3,20,94,5,0,1781,19,17164940.0,2630,3
Nenmini,679325,15860,7589,8271,3070,650,1350,1625.0,44,219.0,1406.0,24,3,2,14,72,3,0,2009,24,8008390.0,1492,3
Arattupuzha,680562,7269,3460,3803,1793,976,817,302.74,3,169.52,107.33,11,7,5,0,36,0,11,1212,320,6114640.0,1547,3
Kodamthuruth (CT),688533,21295,10365,10930,5130,277,4660,960.87,6,247.0,320.05,55,0,4,139,24,0,18,2629,280,58708000.0,4655,1
Mulavukad (CT),682504,21833,10633,11200,5315,12,3500,797.0,3,43.22,313.98,0,123,0,23,0,0,124,160,160,26556800.0,5287,1
Chempanoda,673528,5438,2691,2747,1372,104,314,2043.0,18,65.0,1687.0,18,84,6,24,5,0,16,913,0,34675000.0,308,3
Chakkittapara,673526,12267,6078,6189,3021,225,1070,4740.0,27,151.0,4050.0,14,58,13,198,12,0,14,2117,0,80446000.0,408,0
Kerala Estate,676525,14871,7070,7801,2893,103,754,2432.69,50,135.0,2275.08,5,28,3,54,32,19,41,2132,17,11067702.0,2372,3
Karuvarakundu,676523,26712,12567,14145,5275,125,1528,2507.13,30,288.0,2198.13,7,43,5,81,50,60,151,3050,28,16467702.0,4896,1
Elamkulam,679340,26456,12414,14042,5330,279,5051,1656.0,7,1029.0,627.0,4,0,1,64,9,89,0,3921,75,23575000.0,4035,1
Pulamanthole,679323,27029,12604,14425,5310,240,5070,2251.0,4,650.0,1040.0,2,0,4,11,39,42,4,3745,169,20000000.0,2391,1
Kuruvambalam,679338,10756,4951,5805,2077,91,1986,965.0,1,279.0,448.0,2,0,1,8,19,19,2,605,73,10000000.0,1141,3
Vekkalam,670650,7174,3473,3701,1740,1161,379,1499.0,1,34.0,1440.0,2,3,200,18,50,40,21,1200,0,187.12,1700,3
Koloyad,670650,12616,5977,6639,2915,1868,800,1500.0,2,51.0,1429.0,3,5,177,12,46,49,24,1868,0,287.12,2456,3
Niramaruthur,676109,29846,14198,15648,5259,1020,2626,858.17,7,139.86,622.94,158,2,30,77,171,24,0,4900,150,20000000.0,1105,1
Kaipamangalam (CT),680681,35626,16290,19336,8495,2050,6445,1119.19,30,423.0,696.19,6,41,171,95,118,3,0,3900,70,20263000.0,3350,1
Vazhoor,686504,21501,10502,10999,5514,1920,2044,2422.0,8,29.0,2393.0,98,0,98,27,32,0,30,2900,995,12800000.0,1727,1
Kangazha,686541,3668,1771,1897,867,282,394,327.12,2,3.0,324.12,14,0,14,0,12,0,27,755,205,2200000.0,217,3
Palakkayam,678582,4951,2470,2481,1084,216,433,210.0,2,53.0,157.0,1,3,1,32,0,2,8,230,30,3614000.0,70,3
Mannarkad-II,678582,24576,11980,12596,5166,827,1879,2104.0,15,436.0,1668.0,6,6,11,395,0,5,42,2300,1120,21245000.0,582,0
Vazhikkadavu,679333,47322,22470,24852,9972,610,2103,1834.2,30,42.17,1791.2,42,3,13,284,0,29,350,6000,20,40600000.0,4986,1
Maneed,686664,16980,8408,8572,4210,2750,600,2256.0,20,410.0,1846.0,80,4,0,53,0,0,21,5050,2000,26016000.0,2409,0
Vettom,676102,37456,17401,20055,6577,4500,221,942.98,100,174.23,741.8681,320,18,636,40,66,70,0,4491,70,42400150.0,298,1
Moorkkanad,679338,36324,17165,19159,6944,1517,5427,2430.0,60,130.0,2300.0,13,12,0,18,27,151,67,2413,21,16300000.0,1253,1
Chowwannur,680517,6907,3244,3663,1616,65,480,425.277,10,264.619,115.44,0,4,6,9,1,0,10,1093,117,3926000.0,579,3
Kanipayyur,680502,3245,1511,1734,782,18,247,153.165,4,95.699,41.752,0,4,6,12,1,0,10,772,109,3078000.0,578,3
Chemmanthatta,680501,6538,3063,3475,1468,172,473,389.366,2,242.322,105.72,0,3,6,4,1,0,10,935,124,3078000.0,579,3
Paduvilayi (CT),670741,20598,9748,10850,4213,315,3156,1202.0,2,103.0,914.0,10,4,119,13,0,0,24,385,3,12550000.0,246,3
Pathiriyad (CT),670741,18008,8353,9655,3914,405,2790,1004.0,0,106.0,887.0,5,3,82,12,0,0,48,400,2,12550000.0,205,3
Angadi,689674,14855,7079,7776,3998,480,3500,1778.09,3,39.0,1727.0,16,13,0,62,10,12,26,1355,46,22583248.0,2099,3
Kanayannur (CT),682312,9308,4622,4686,2346,1018,617,479.0,15,264.42,74.0,0,4,0,11,0,50,6,1762,64,10204000.0,1674,3
Kureekkad (CT),682312,13348,6459,6889,3448,746,423,344.4,10,182.5,161.9,0,3,0,11,0,26,6,1504,72,10207000.0,1442,3
Alangad (CT),683511,41251,20223,21028,10197,2345,3508,883.0,40,112.0,771.0,0,15,275,56,144,11,65,5500,52,114740000.0,10086,1
Kolathur,671541,5780,2710,3070,1331,638,693,1400.0,706,470.0,782.0,20,0,57,24,48,0,10,945,86,17028228.0,0,3
Bedadka,671541,13476,6460,7016,2985,1480,1505,2903.0,1080,962.0,1902.0,42,1,129,55,110,0,27,2160,218,39701108.0,128,0
Pandalur,676521,17375,8287,9088,3364,172,598,1337.0,12,117.0,1189.19,4,9,0,19,0,13,200,1930,60,8040000.0,1675,3
Anakkayam (OG),676509,33259,15983,17276,6461,319,1121,2005.51,17,174.89,1783.78,4,11,0,20,0,20,300,2409,90,12060000.0,3289,1
Thiruvali,679328,27734,13278,14456,6086,360,1820,2785.0,30,318.0,2467.0,31,46,5,76,0,85,320,2684,48,33000000.0,1870,1
Thirumarady,686662,17585,8756,8829,4482,2117,868,2682.0,18,497.0,2185.0,614,25,3,32,35,17,12,3356,10,27100000.0,1454,0
Karulai,679330,23277,10959,12318,4972,2360,2270,1598.0,12,119.0,1338.0,68,15,61,16,68,69,0,2140,200,12608817.0,4126,1
Kalikavu,676525,10642,5001,5641,2096,697,1192,1327.5,3,76.1,1208.21,7,1,6,54,54,13,29,1006,45,7266000.0,1872,3
Vellayur,679327,2072,971,1101,403,111,292,88.77,0,4.87,80.76,2,0,0,0,0,0,6,178,4,484000.0,265,3
Chembrasseri,676521,14474,6828,7646,2876,200,431,1543.9,7,155.9,1366.7,10,16,4,45,25,23,245,452,0,8433000.0,398,3
Chokkad,679332,19510,9153,10357,3841,1653,2185,1533.79,9,87.81,1396.28,16,2,52,35,35,30,43,1028,51,8397000.0,3384,1
Pandikkad,676521,18406,8729,9677,3578,528,1526,1544.0,10,160.0,1372.0,10,17,4,52,25,25,175,2510,0,8433000.0,1510,3
Vettikkattiri,676521,22333,10742,11591,4336,300,1628,1543.84,11,151.9,1361.55,10,16,4,55,30,20,145,1685,0,8434000.0,710,3
Porur,679339,29561,14101,15460,5907,765,2070,3065.0,16,348.53,2466.47,10,5,1,60,0,46,195,2830,132,23000000.0,875,1
Kurumbilangode,679334,5106,2472,2634,1078,96,278,145.0,8,36.0,108.0,2,1,1,13,5,2,23,251,2,4250000.0,9,3
Pothukallu,679334,22971,11026,11945,4994,390,912,882.0,57,234.0,644.0,12,19,8,124,42,12,231,4545,23,45750000.0,113,1
Kodur (CT),676504,45472,21681,23791,8399,1400,6650,1530.0,5,130.0,1367.0,0,6,142,38,142,12,65,1920,0,14500000.0,4000,1
Vettilappara,673639,8696,4310,4386,1973,131,496,1494.0,8,92.0,1346.0,33,3,2,11,2,93,28,4500,40,12150000.0,814,3
Urangattiri,673639,31601,15615,15986,6327,523,1601,2410.0,9,127.52,2282.48,16,5,2,28,2,23,54,5500,60,32850000.0,2796,1
Kodakara,680684,32201,15473,16728,8179,1869,4310,2128.52,10,958.42,1170.1,3,0,2,44,89,5,274,7852,0,248.29,1824,1
Ayyankunnu,670706,22436,11255,11181,5387,2130,2790,5755.0,32,88.0,5528.0,0,0,0,105,18,2,31,6860,0,21127764.0,85,0
Areekode,673639,31563,15628,15935,6037,297,1088,1205.22,120,135.16,1035.42,0,1,0,4,0,20,60,2800,403,12500000.0,3118,1
Arpookara,686008,23366,11552,11814,5641,1965,3676,1539.908,0,1415.94,123.9,0,0,0,7,103,299,48,3300,900,21200000.0,5230,1
Kaipuzha,686602,86,45,41,19,13,6,252.4,0,244.95,7.45,0,0,0,0,6,0,6,48,2,0.0,7,3
Perumbaikad (CT),686016,357,173,184,89,4,85,4.562,0,0.76,3.802,0,0,0,0,0,0,8,7,0,0.0,57,3
Ranni,689672,14306,6809,7497,3933,413,3110,1232.0,12,56.0,1176.0,14,9,0,34,16,0,39,1254,31,13875700.0,2318,3
Chengallur,680312,10760,5180,5580,2715,232,2189,569.0,1,167.0,402.0,1,1,2,6,3,0,63,128,50,8926324.0,2297,3
Thoravu,680301,12615,6094,6521,3115,648,2398,651.0,2,252.0,399.0,5,1,2,4,2,0,37,423,50,9382798.0,3115,3
Wandoor,679328,49013,23561,25452,10239,398,2900,3781.0,6,391.0,3030.0,12,34,1,175,540,88,565,4289,5,36859000.0,4854,1
Marady (Part),686673,15543,7748,7795,3857,2230,1627,1738.0,15,296.0,1382.0,29,6,0,15,7,142,25,4000,100,14384000.0,2512,3
Mannamkandam,685561,40484,20217,20267,10336,7546,2584,4182.0,36,410.0,3692.0,245,64,116,651,923,985,1748,6988,0,83076000.0,4772,2
Amarambalam,679332,35975,17355,18620,7841,867,3243,3939.38,234,324.7,3476.67,58,42,60,157,55,21,210,5848,20,11403409.0,4537,1
Kavanoor,673644,37977,18813,19164,7259,1790,2300,2486.72,50,140.83,2262.96,5,34,0,24,16,20,0,3255,5,31286000.0,1466,1
Pookkottur,676517,37636,18394,19242,7032,2550,2500,1402.86,55,127.33,1235.35,0,16,0,11,143,0,33,2550,56,14606900.0,4967,1
Kunhimangalam (CT),670309,18965,8438,10527,4533,3000,1533,1030.0,1,110.0,533.0,26,0,0,23,0,0,385,3000,0,74665700.0,198,3
Kurumbilangode,679334,10868,5234,5634,2380,207,520,760.0,56,124.0,606.36,14,9,14,63,23,14,56,1380,80,10790000.0,275,3
Chungathara,679334,25401,12092,13309,5674,328,1100,2162.88,168,440.0,1654.15,19,15,30,110,48,42,112,2840,170,32000000.0,897,1
Edakkara,679331,28162,13413,14749,6198,382,1183,1435.0,48,224.0,1171.0,8,18,0,231,0,217,0,5572,34,47939900.0,125,1
Thirumittacode-I,679533,19880,9576,10304,4134,149,1125,1566.0,13,449.0,866.0,9,0,8,83,198,0,36,1738,74,10615000.0,1819,3
Nagalassery,679533,27606,13168,14438,6262,294,1513,2255.9,19,497.64,1301.04,3,0,5,56,116,0,35,3597,170,15925000.0,2606,1
Thirumittacode -II (CT),679535,13429,6392,7037,2858,84,689,1282.0,10,391.0,706.0,7,0,6,68,166,0,30,1427,53,8685000.0,1298,3
Chalissery,679536,24238,11379,12859,5352,242,1278,1596.1,17,410.5,879.5,25,10,17,45,159,0,34,2825,30,30803668.0,2381,1
Anakkara,679551,24699,11623,13076,6748,268,1562,1655.0,28,398.0,858.88,21,0,10,53,7,0,46,2890,302,16677576.0,1912,1
Pulimath,695612,22045,10212,11833,5815,2340,3456,1865.0,6,656.0,855.56,85,47,156,132,410,0,692,4384,37,25043020.0,1122,1
Edavaka,670645,16737,8245,8492,3727,1848,1641,2286.0,71,304.0,1850.0,63,20,20,89,22,0,37,6432,385,36828236.0,1223,0
Nalloornad,627302,16928,8557,8371,3812,1734,1526,1966.0,79,236.0,1696.0,72,20,20,95,28,0,51,6536,239,33995296.0,1286,0
